### Module positions - created on 2022-02-23 09:02
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 26.600mm, Pcb Width 45.100mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U7            QR                  QR-ASR33                      144.5000   -106.8000  0.0000     0.0000        0.0    bottom    VIRTUAL
U6            LMR16006+FB         RegulatorBlockFB              124.3000   -97.0000   123.3500   -98.3500      0.0    top       SMD
U5            LTV-356T            SO-4_4.4x3.6mm_P2.54mm        141.0000   -107.5000  139.7300   -110.6500    90.0    top       SMD
U4            NCR402U             SOT-457                       145.0000   -110.2500  143.8000   -109.3000     0.0    top       SMD
U3            NCR402U             SOT-457                       135.2500   -110.2500  134.0500   -109.3000     0.0    top       SMD
U2            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 138.0000   -96.5000   139.0000   -94.6000    -90.0    top       SMD
U1            ESP32-PICO-MINI-02  ESP32-PICO-MINI-02            153.0567   -100.2500  157.0567   -94.3500    -90.0    top       SMD
SW1           SW_Push             SW_PUSH_6mm_PTH               135.5000   -103.7500  133.2500   -107.0000    90.0    top       THD
R12           3M 1% or NF         R_0603                        120.7500   -98.0000   120.7500   -98.8250     90.0    top       SMD
R11           10M 1% or 0R        R_0603                        120.7500   -95.0000   120.7500   -94.1750    -90.0    top       SMD
R10           27R                 R_0603                        134.0000   -96.0000   134.8250   -96.0000    180.0    top       SMD
R9            27R                 R_0603                        134.0000   -97.2500   133.1750   -97.2500      0.0    top       SMD
R8            5K1                 R_0603                        128.2500   -109.5000  128.2500   -110.3250    90.0    top       SMD
R7            5K1                 R_0603                        128.2500   -104.5000  128.2500   -105.3250    90.0    top       SMD
R6            220R                R_0603                        145.0000   -99.7500   144.1750   -99.7500      0.0    top       SMD
R5            2K                  R_0603                        145.0000   -98.5000   144.1750   -98.5000      0.0    top       SMD
R4            680R                R_0603                        145.0000   -97.2500   144.1750   -97.2500      0.0    top       SMD
R3            10k                 R_0603                        131.2500   -98.2500   131.2500   -99.0750     90.0    top       SMD
R2            4k7                 R_0603                        131.2500   -101.0000  131.2500   -101.8250    90.0    top       SMD
R1            10k                 R_0603                        142.0000   -95.2500   142.0000   -96.0750     90.0    top       SMD
Q1            NX7002AK            SOT-23                        131.7500   -110.0000  130.8000   -110.9375    90.0    top       SMD
Logo1         AJK                 AJK                           153.6000   -100.6250  0.0000     0.0000        0.0    bottom    VIRTUAL
L1            6.8uH               Hidden                        100.8900   -107.5700  0.0000     0.0000        0.0    top       SMD
J1            USB-C               USC16-TR-Round                120.0000   -107.0000  0.0000     0.0000      -90.0    top       SMD
D5            Schottky            Hidden                        109.7500   -107.7500  0.0000     0.0000        0.0    top       SMD
D4            Schottky            D_1206_3216Metric             130.7500   -105.7500  130.7500   -107.1500    90.0    top       SMD
D3            BAV99S              SOT-363_SC-70-6               151.2500   -110.2500  150.3000   -109.6000     0.0    top       SMD
D2            BAV99S              SOT-363_SC-70-6               155.7500   -110.2500  154.8000   -109.6000     0.0    top       SMD
D1            RGB                 LED-RGB-1.6x1.6               145.0000   -95.5000   145.8750   -96.0000      0.0    top       SMD
C7            10uF                Hidden                        103.0100   -107.5700  0.0000     0.0000        0.0    top       SMD
C6            2.2uF               Hidden                        105.1300   -107.7500  0.0000     0.0000        0.0    top       SMD
C5            0.1uF               Hidden                        107.2500   -107.7500  0.0000     0.0000        0.0    top       SMD
C4            10nF                C_0603                        130.2500   -103.0000  129.4750   -103.0000     0.0    top       SMD
C3            47pF                C_0603                        134.0000   -94.7500   133.2250   -94.7500      0.0    top       SMD
C2            47pF                C_0603                        134.0000   -98.5000   133.2250   -98.5000      0.0    top       SMD
C1            100nF               C_0603                        142.0000   -98.7500   142.0000   -97.9750    -90.0    top       SMD
J5            Tx                  Molex_MiniSPOX_H3RA           132.5000   -113.4000  130.0000   -113.4000     0.0    top       THD
J6            Rx                  Molex_MiniSPOX_H3RA           142.5000   -113.4000  140.0000   -113.4000     0.0    top       THD
J2            DC                  Molex_MiniSPOX_H2RA           123.7500   -113.4000  122.5000   -113.4000     0.0    top       THD
J3            Power               Molex_MiniSPOX_H3RA           160.0000   -113.4000  157.5000   -113.4000     0.0    top       THD
J4            RUN                 Molex_MiniSPOX_H2RA           151.2500   -113.4000  150.0000   -113.4000     0.0    top       THD
## End
## 220 SMD pads
## 17 TH pads
## 75 Virtual pads
## 6 Top TH modules
## 0 Bot TH modules
## 33 Top SMD modules
## 0 Bot SMD modules
## 0 Top Virtual modules
## 2 Bot Virtual modules
