Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,10uF 35V,C194427
C10,C_0402,1,22uF,
C11,C_0402,1,1uF,
C12,C_0603_,1,100nF,
C8,C_0603_,1,10uF 6.3V,C1691
C9,C_0402,1,100nF,
D1,D_SOD-123,1,D,C1884542
"D2, D3, D6, D7",DFN1006-2L,4,~,C5137770
D4,SMD1010+,1,XL-1010RGBC-WS2812B,C5349953
J7,USB-C-Socket-H,1,USB-C-Socket-V,C709357
L2,L_4x4_,1,10uH,
Q1,SOT-23,1,NX7002AK,
R1,R_0402_,1,124k,C138062
R13,R_0402,1,10K,
R2,R_0402_,1,39k2,
R3,R_0402_,1,1M,
"R7, R8",R_0402,2,5K1,
SW1,TS-1092S-B3D2-G,1,SW_Push,
U1,SOT-23-6-MD8942,1,MD8942,C2684786
"U3, U4",SOT-457,2,NCR402U,
U5,SO-4_4.4x3.6mm_P2.54mm,1,LTV-356T,
U8,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
