Designator,Mid X,Mid Y,Rotation,Layer
C1,21.0,44.8,90,top
C10,30.0,49.5,90,top
C11,46.2,34.6,180,top
C12,23.5,44.1,0,top
C8,26.0,44.8,90,top
C9,30.9,49.5,90,top
D1,17.95,45.9,180,top
D2,34.58,43.85,180,top
D3,34.55,41.3,180,top
D4,33.9,48.95,45,top
D6,34.55,39.8,180,top
D7,34.55,44.7,180,top
J2,14.95,33.6,0,top
J3,51.2,33.6,0,top
J4,42.45,33.6,0,top
J5,23.7,33.6,0,top
J6,33.7,33.6,0,top
J7,15.54,39.9,270,top
J8,38.5,43.06,90,bottom
L2,23.5,41.5,0,top
Q1,23.35,37.04,270,top
R1,23.5,48.0,0,top
R13,38.7,34.6,0,top
R2,25.3,48.0,0,top
R3,21.7,48.0,0,top
R7,20.1,41.4,0,top
R8,20.1,38.0,180,top
SW1,15.5,48.9,0,top
U1,23.5,46.1,0,top
U3,27.7,36.8,270,top
U4,32.3,36.8,270,top
U5,28.7,43.4,0,top
U8,43.3,43.0,270,top
